frame,time_s,pose_valid,tag_family,tag_id,tx_m,ty_m,tz_m,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg,pose_error,hamming,decision_margin,center_px,corners_px_lb_rb_rt_lt
10,0.33366666666666667,1,tagStandard41h12,0,0.00017186204792975918,-3.642071412929115e-05,0.00010579051446119045,-0.00012421690483278223,-0.0001780556942130033,0.00014899787048600684,0.999999965332982,-0.014237249442622536,-0.020401558450338246,0.017076433495950453,3.4776385681368023e-07,0,140.09681701660156,"[2333.973876953125, 1066.67919921875]","[[2678.34765625, 974.6246337890625], [2233.28662109375, 807.380859375], [1986.4456787109375, 1159.576904296875], [2448.514892578125, 1361.65478515625]]"
11,0.3670333333333333,1,tagStandard41h12,0,0.00013144137535621946,-8.426316226649126e-05,-1.5549508705928144e-05,0.0001890730582008606,-0.00030510096781275424,0.00013739273350386706,0.9999999261440047,0.02166137593423672,-0.03496497192533846,0.015737439125136483,3.480957124626776e-07,0,139.6465301513672,"[2333.98046875, 1066.606689453125]","[[2678.515869140625, 974.56689453125], [2233.256591796875, 807.376708984375], [1986.45703125, 1159.4447021484375], [2448.5556640625, 1361.4849853515625]]"
12,0.40040000000000003,1,tagStandard41h12,0,0.0001609082098669646,-6.736310884019264e-05,3.748786426778751e-05,0.00019085582368395427,-0.0001709326843609447,4.9133360931588354e-05,0.9999999659709917,0.021869505053184603,-0.019588517074025567,0.00562653019809602,3.3648053701029325e-07,0,140.4220428466797,"[2333.8603515625, 1066.641357421875]","[[2678.40966796875, 974.5911254882812], [2233.0947265625, 807.4300537109375], [1986.4532470703125, 1159.455078125], [2448.498046875, 1361.5379638671875]]"
13,0.4337666666666667,1,tagStandard41h12,0,0.00017268483516326636,-9.45075369626463e-05,7.837475730208305e-05,0.00014579883977040655,-0.00021220840749125095,-6.883105880282016e-06,0.999999966831456,0.016707484919352335,-0.024317177178121995,-0.0007922913119805238,3.624034084723947e-07,0,140.10337829589844,"[2333.845947265625, 1066.8311767578125]","[[2678.21728515625, 974.75634765625], [2233.042724609375, 807.5728149414062], [1986.3121337890625, 1159.7515869140625], [2448.477783203125, 1361.655029296875]]"
14,0.46713333333333334,1,tagStandard41h12,0,0.000251522787943891,-7.143574271849322e-05,9.843792386398092e-05,6.736381757640787e-05,4.530603971854392e-05,-3.270747312484447e-05,0.9999999961698501,0.0077191550964522005,0.0051919421914837045,-0.003747650608849495,3.3710050677962914e-07,0,140.13540649414062,"[2333.5693359375, 1066.616943359375]","[[2677.8515625, 974.5982666015625], [2232.81201171875, 807.3901977539062], [1986.036376953125, 1159.50439453125], [2448.22900390625, 1361.611083984375]]"
15,0.5005000000000001,1,tagStandard41h12,0,0.00027062754458489525,-6.569851040307922e-05,0.00017754251468383002,-0.00012330266516131317,-0.00013402556309532755,-5.715576939702371e-05,0.9999999817834095,-0.014128567216704238,-0.015359005707905805,-0.006547675145972923,3.4610296546115313e-07,0,140.04859924316406,"[2333.52734375, 1066.7918701171875]","[[2677.761962890625, 974.659423828125], [2232.75830078125, 807.5558471679688], [1986.044189453125, 1159.7938232421875], [2448.172607421875, 1361.725830078125]]"
16,0.5338666666666667,1,tagStandard41h12,0,0.0002539892403363541,-0.0001256407210653582,8.880675161366432e-05,4.1179103479359027e-05,-0.00029874715188699417,-1.2330177126607617e-05,0.9999999544511926,0.004719200409845914,-0.03423384418357999,-0.0014143441296279157,3.583302584737603e-07,0,140.62586975097656,"[2333.456787109375, 1066.8099365234375]","[[2677.78076171875, 974.6835327148438], [2232.693603515625, 807.5814819335938], [1985.919921875, 1159.7960205078125], [2448.0634765625, 1361.6534423828125]]"
17,0.5672333333333334,1,tagStandard41h12,0,0.00028163078608034513,-0.0001182373520873138,9.000359862406117e-05,5.0596038097914805e-05,-0.0003960117455298967,2.7055588654784986e-05,0.9999999199413635,0.005796652478158991,-0.04537976128943584,0.0030980467811955533,3.4491042011013374e-07,0,140.02499389648438,"[2333.37890625, 1066.6944580078125]","[[2677.62890625, 974.5771484375], [2232.68701171875, 807.5711669921875], [1985.787841796875, 1159.7056884765625], [2447.9716796875, 1361.591064453125]]"
18,0.6006,1,tagStandard41h12,0,0.00027175036698094516,-0.00013314698579178772,0.00013294458502259622,6.880094763966702e-05,-0.00023063913775382445,6.3542969634558735e-06,0.99999997101582,0.00788384054800799,-0.026429348636222625,0.0007263304909752794,3.4090877881514905e-07,0,139.86471557617188,"[2333.392822265625, 1066.8663330078125]","[[2677.609130859375, 974.7991943359375], [2232.69384765625, 807.7146606445312], [1985.80126953125, 1159.8363037109375], [2448.00439453125, 1361.82275390625]]"
19,0.6339666666666667,1,tagStandard41h12,0,0.0003001804262800243,-0.000189103956022101,6.156391690518847e-05,0.00013416457559410706,-0.00041883051451978314,1.447554196479794e-05,0.999999903185658,0.015373437227527048,-0.04799466514167565,0.0016523361869531228,3.5921795781795606e-07,0,140.42430114746094,"[2333.158203125, 1066.85107421875]","[[2677.42822265625, 974.739990234375], [2232.449462890625, 807.6871337890625], [1985.5303955078125, 1159.860595703125], [2447.728515625, 1361.686767578125]]"
20,0.6673333333333333,1,tagStandard41h12,0,0.0003251631737645198,-0.00014813990936721,0.00012799807660227974,1.2943762879099933e-05,-0.00036396915747750083,4.6061857142808545e-05,0.9999999326186061,0.0014813251222631815,-0.041707862386990896,0.005277761215988292,3.6325830055285466e-07,0,139.02981567382812,"[2333.1484375, 1066.864501953125]","[[2677.404541015625, 974.7584838867188], [2232.458740234375, 807.6522216796875], [1985.5792236328125, 1159.85693359375], [2447.67138671875, 1361.6893310546875]]"
21,0.7007,1,tagStandard41h12,0,0.00030047328390796755,-0.0002260740552091491,4.801012556580088e-05,0.0002158396560574476,-0.0001731832196046633,-8.736724321136421e-05,0.9999999578938893,0.02473513772982177,-0.0198431738035251,-0.010015832247852696,3.800554399974138e-07,0,138.2973175048828,"[2333.0537109375, 1067.00341796875]","[[2677.3984375, 974.9191284179688], [2232.229248046875, 807.6939086914062], [1985.4813232421875, 1159.9508056640625], [2447.660888671875, 1361.760986328125]]"
22,0.7340666666666666,1,tagStandard41h12,0,0.00036781204289709155,-0.00021354188541996183,9.313091873903442e-05,2.1748420720052772e-05,5.410910419084391e-05,-9.82956084308748e-05,0.9999999934685921,0.0024915759590939746,0.006200691549226678,-0.01126371223054175,3.733154547207788e-07,0,139.2806854248047,"[2332.828369140625, 1066.9417724609375]","[[2677.0712890625, 974.882080078125], [2232.033203125, 807.5704956054688], [1985.2427978515625, 1159.8953857421875], [2447.424072265625, 1361.82470703125]]"
23,0.7674333333333333,1,tagStandard41h12,0,0.0003624798639537129,-0.0002073548055808928,0.00012013833125832529,8.00342114714827e-05,-8.800446863824783e-06,-0.00013125345130461186,0.9999999881448043,0.009171377363248842,-0.001007253156784825,-0.015040618320365058,3.9632416369472933e-07,0,138.78689575195312,"[2332.904296875, 1067.0322265625]","[[2677.0859375, 974.96533203125], [2232.06689453125, 807.6441650390625], [1985.2855224609375, 1160.0185546875], [2447.490966796875, 1361.788818359375]]"
24,0.8008000000000001,1,tagStandard41h12,0,0.00040140175375005864,-0.0002203056637223958,0.00014332396886563867,6.38899839321743e-05,-5.330070892046303e-05,-0.0001984534463641339,0.9999999768466669,0.007322464873157162,-0.006106358274674239,-0.022741480240702827,3.4093983819933743e-07,0,138.99807739257812,"[2332.596923828125, 1067.0211181640625]","[[2676.923583984375, 974.8687744140625], [2231.780517578125, 807.8009643554688], [1985.2042236328125, 1159.9940185546875], [2447.288330078125, 1361.9166259765625]]"
25,0.8341666666666667,1,tagStandard41h12,0,0.00042979313506865676,-0.00023268316461521439,0.00013074584040510272,-6.435691762665006e-05,-9.767553132722866e-05,-0.0002090980432833932,0.9999999712978426,-0.007372419083552947,-0.01119433321124149,-0.02396015090353454,4.0358818182562816e-07,0,139.02499389648438,"[2332.460205078125, 1067.1185302734375]","[[2676.89892578125, 974.8921508789062], [2231.54248046875, 807.6492919921875], [1985.135498046875, 1160.1177978515625], [2447.052734375, 1361.7469482421875]]"
26,0.8675333333333334,1,tagStandard41h12,0,0.00045245864227492995,-0.00015569745389898364,0.0002474546430775941,-4.6994421516984245e-05,-1.7608155092756093e-05,-0.00012839911125108185,0.9999999904975728,-0.005384904910484717,-0.0020184373751729176,-0.014713359544059567,3.776980859835096e-07,0,138.73117065429688,"[2332.5888671875, 1067.0572509765625]","[[2676.8271484375, 974.94775390625], [2231.79248046875, 807.717529296875], [1985.2039794921875, 1160.0087890625], [2447.1435546875, 1361.7960205078125]]"
27,0.9009,1,tagStandard41h12,0,0.000427562306314575,-0.0002960754247396129,5.6457686249425916e-05,0.0002726476381664523,-0.00011528293646436403,-0.00015531393529616996,0.9999999441253441,0.031245170322335352,-0.013205598305756976,-0.017801267547219127,3.717520478072932e-07,0,139.30831909179688,"[2332.37109375, 1067.034423828125]","[[2676.682373046875, 974.9521484375], [2231.56396484375, 807.7708129882812], [1984.82568359375, 1159.981689453125], [2446.982421875, 1361.801025390625]]"
28,0.9342666666666667,1,tagStandard41h12,0,0.0004456834091041344,-0.0002878073749366654,9.368089939459454e-05,1.0435182710618208e-05,-0.0001286964381228944,-0.0001513422875016966,0.9999999802119226,0.001198015795883968,-0.014747344383965891,-0.017342703060639796,3.5005622038441526e-07,0,138.534912109375,"[2332.2841796875, 1067.047119140625]","[[2676.62109375, 974.8795166015625], [2231.50732421875, 807.7822875976562], [1984.8260498046875, 1160.0501708984375], [2446.91162109375, 1361.945068359375]]"
29,0.9676333333333333,1,tagStandard41h12,0,0.00043303327799715284,-0.0003314766427063096,4.562149327865384e-05,0.00011370270218422147,-0.00014666216963301465,-0.00011508780605134525,0.9999999761583499,0.01303130446504369,-0.0168047469870598,-0.01319000240538372,3.662367722154317e-07,0,139.27784729003906,"[2332.27099609375, 1067.1007080078125]","[[2676.59716796875, 974.9799194335938], [2231.5009765625, 807.7990112304688], [1984.709716796875, 1160.0870361328125], [2446.85791015625, 1361.9556884765625]]"
30,1.0010000000000001,1,tagStandard41h12,0,0.0004718318898713137,-0.00030681909228010777,8.993543996024286e-05,-4.582552150638898e-05,8.7221166031785e-05,-0.00016618821076416638,0.999999981336984,-0.005252878961352571,0.009993936569290946,-0.01904422446554765,3.8911293284061844e-07,0,138.9540252685547,"[2332.162109375, 1067.131591796875]","[[2676.5068359375, 975.0049438476562], [2231.322021484375, 807.6513061523438], [1984.685302734375, 1160.0960693359375], [2446.7294921875, 1361.934814453125]]"
